source_name,title,url
Times of India,Turn your study abroad dream into a career reality at Federation University’s Melbourne City Campus - Times of India,https://news.google.com/rss/articles/CBMi_wFBVV95cUxNTFdTR1ZoZ21peFFMb09aZ2xlMFBNdmd0UHIzYmdNTmhZeXdYLWVJeDRiblB0dEQ5dlhmMjRQcnBXbUhMZ2NMdHA2TVpLS2JGWUFpQk5hMThGQ1lPVjhNaGhjSkZJWDBtVkYxeTNoQzFmUGRuNW92QlY3ZXFhRjlVN1Rvd3pqNzN5TGpBSWtKcXlVOXQ4M0IwU1NjYjJoUlNxWWlIejRyTWdTQkFqSG1jUUtDdU5DMjRkNUFpeU1wenl6bkFlZDVUUE8zbHlqT0FyMDI4YzhHaW9hb0s2WTVtOGpPSHg2WWY5TnJtSEdVaTlyaVhSOElnTm1LMUJvUmM?oc=5
NDTV,"Australia Raises Cap On International Student Enrolments, Check Details - NDTV",https://news.google.com/rss/articles/CBMivwFBVV95cUxQZVg3a0pCUnA1NWc4M0tZRFJ0U2pQbnBLbzdKdzhxd1NOSDdDVkpJa2hvSDVtZ3Q3ZGdMc0tZTzR0TURNYlNHOGgwMnV2OXFJUzJXRm4xWGRwczZqZjQxLWRyVFAyb1BXVHhYclp5UG5VNVg5WlJHMm1wTXc3c1FDbmpNSnlIWWZVZnp2XzhPTTd4REY3VldqX1Faa3hWMXdOR0dTay10dGdGSG1YSldMdHVqNl9nNGRjS2pYdjJjb9IBxwFBVV95cUxObU10TXNSXzVzdzJPblllck9oQmlyTnBjMkljUG5VazB1Ylc0LWp4dnRNZjFMSVVSX3lUQUNrR1RaNjRxRnp0czV1WlVkUW5nSTVCaG1VM1VNYVE3T3Z3ZlFmRzZpMXctN05NbVEySWIzQ2lSWEpuMWxtenRkcGJXeThPMmx2aDdRVTBRVThKa2h2dDNCWms5NFZEOGhnTHpjTzdTNnpyMGpYZFdkRGpmOGlpMzd6THd4bU1XeTYtaW9yekpLbklv?oc=5
India Today,"1.5 lakh foreign students may skip US colleges this fall, $7 billion loss predicted - India Today",https://news.google.com/rss/articles/CBMi5wFBVV95cUxQU2NRZkJrZVk5S0tJTmR0MTdON1c3bFNWRFIxU1dsODBtQmF1X1NCcUw2OEtNcngwNWZ2MjQtR19KYXg4TDJJdnZ5OW9nTEFHT2pDQ0hOSkxobnFzNmhpYXZNVWpiM0JBQnc4a2pjZ08ydFI0QWYzSmRBNE5sQjA3RWJaTFF5RXZFc1drMkN2M3pTUW1kbWg1b2hVbWp4Rks1b29XWjN5WWFTT3FRMzdpUG1WM2U2Wl9fZkVxbXN2aTQ1OW1YeWFmN2dPSVVTVVV0T1dVMjVIc05neW5RbHFZaXlVQTBiRUnSAewBQVVfeXFMUF91YTh1d2tUVEdTZXpUTGRaYVk2cU5hakg0TFBVYV9VNHd4blRjRE1hZ3pYTUV2NEdZM3h3TzN1cnljc1BBWWZJTnF2UU1QUElfTk81VUI4cjFOdUJ5MWZUSnZac0JkdV9UamcwOGdVdk1wWmo0ejRvbzlTeGphN1ZfTUo0SHlTV01Bc1hMbElhRHQ4N243cHA2V2hud0FuUS14NWkydTBMaFJPQS1rQ1hqeFIxZnE0bU9Pa1dwZGxiYXdOaGZGaWZZanBpVkRjZVZYQkRMRGxVS00xRks0NjZjRXB5VEJtRUZUQmI?oc=5
Business Standard,"No passports, no study abroad: China limits public employees' travel - Business Standard",https://news.google.com/rss/articles/CBMiygFBVV95cUxNRFdLSHczMXpoekF3ZnA2SjRteDE1SWJONXU4STJKU2RESzZXUV9oRlFPdHhINVhhdUdrN2l4b2paYVF3ak1oX3puQXRNVFQ4c19xRmJZd29vSTMtcDNLbTNTOXJ2TkZVXzZRWHo2UGJzZnZ5X2FyekhnNll3a1lYUVp6cGhoUUlsWG1BREFjaWVKZDI0a0xJd005bnl6bWFyYXNlTUhpYl9SQ0dlOUlET0p1M3ZsZzBtdGhGak5ZeWJoSnFDTVNMaTV30gHPAUFVX3lxTE9CRE1lTDJxSTh3YzJBMHhwczhPYXk0V0x5dW9wbFNqdnZUUkY5R3BITnZfZFBjTlZIZ2l5clpxc0E5R3h5LVFtZU9mVlRJMGg1ZlpDY24zcVJfVVZSQmtFOWcyYzFOb0I4MElVVHJFQU9nVHRpbGQyeGNyVzZDQ0hjN1hGUzk2TFFTVFVKdWlyVWk3SktrM1R6bGx3dUJEM2NNRFV0UnVhemY4LWJSZDN2MlNtenRDWGhfbko4OTQydFFlY3JkTFBkNUxwVXdNSQ?oc=5
The Indian Express,Australia to raise cap on international student enrolments to 2.95 lakh in 2026 - The Indian Express,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQOFQtekpmZlA4SEZtZkZGVHh3NEtBMmxwM3pwMnZYMTY5QnlsZ012QVBuZWFrMG0wb0dZY0NmajBFbWpiZHVwWDl6anltd3NmNGN3UzBFMEs2T1N3U0c2R3RIaFBpWURDR1NBLW02S1hFMGdMRC1YZTdJNG5CRkR0XzlTSFliaFNLTkMzcWVqbWlYaTZWWVF5Q2JGeFBZUHdwRXVJRTZWbHlFeDdGOVF4Qi1EYUVMSllrX2xfcVcxUGZIX0Q4cXl5S2dOTHV4akYyaVVCYkVTZFJEQdIB4AFBVV95cUxQc3RBZWhWcU1TYzlIemtpajgyRnE4ZlVFRUhCS0tnbWxFNF9fRkN3Nk40eGszYkhZWUFJRUxDNXFtZkhLQ3F0Yi1aazI2OGREOTZIRVQ4eVJTbThmY3B1bGdONU9KWGRBSkxkLUNRNG5FSkdITEJET1RuNVJPOEZpUlZtTmFadDZIWFpoVWp1WFZEWlNwNXAycHpLYzk1ZXVKcWpwV2RFYUtyMzMxOWZKSXJpLUxVR1BOWlNja2dEX3VuX0FwbTRNRk5mSmZEckloWnZaNW1GTWVHSlUwTUx1cg?oc=5
Moneycontrol,"Rs 1,700 crore lost: The hidden costs of studying abroad borne by Indian students’ families - Moneycontrol",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPa0FlQUlNSDV4WHM0OHI0R2xzUFExSEg3cG1WQ0ZKNE9PaXVvVlN2ZDZId0FmN2VrTVQ0c3d2WHBHRW1BVWpWQm1aX0lKSmdnY2NpZ082eXoyWVh3OXh1em1YQ2xiNFZoRC1ZM3h3QWJDbGhnWE8yY3haWUp1QVpLVXUxb3kxLWtndzR6YTRNZjBiS2JaeTlnem5TSTVrOXFNUkhpZEJVb0UzUU1ITjcxZnRqQ3BNeUJlNnBJSnV6NzMwV1ctalBpcXNrZGJUZTJqd1NWWi01VHlZSjl1dDdyZTlYeTk4RzcxLVg4RWNURWRNVHAyZGfSAfsBQVVfeXFMUHlPU0FYcHV5MzliQzEzN25TMXVBZzVINW9JTHlLQ2MxRFlEdVViYkNpSGRhWEp5TGcxamt4ZTYyR2ZZaFNaaGxqeWtNNGdpR0VDOTJyNW5Kc3hoM1FFTXVvdzc5Skc0d1lCOW0ySnAtWERYb09SeGFUNjZpZ0dGcWFGMERFOXFaa3BBa1ZZc3JKOWd0dkFaOWZHSDBOX0I0RlBsYXVlWklyUXVMd3JCTjFjbEpSdVpTRDgwdWQwMjZFc0ZGaGtaUWIwRm1vRmVYY0hCelRIZ1EzbG9wdHlQczRqN2NPdy1PQTFNQVQ3SFVPNGsyMks3ejlXamM?oc=5
financialexpress.com,"Canada sees 48% drop in study visa issuance, 1,00,000 fewer permits issued - financialexpress.com",https://news.google.com/rss/articles/CBMikAJBVV95cUxNaGJ1RzdoQW9fUmE0Znlvd3RjYWk0VUtMajJyekFJN0RTUHRaa1RaN252anFuckNJck4ycVlGVFBnTVp2eVJwcGFHcUthTXBkcXI5MldoOFBNZU9uWFlQTnpsRjlZSjFhaFA5U2ExN05iMklCeVp6RFpoTm9Cd3N2MktVODhLbnVlSm1Nd0dZbnRoeWZtOWtRdC1TLUFBYVAtQnRoc1liWEJBa1dVN2dhdmxFSEo2c1I0TkVSUWp6dTByQkVoSnlXS3ZlbUlqdW1xejgzVE5JdzR3QUQyeTNxOHc4TzFOSmFkdVZUQjVWMC1lNmxyRDhZb2FhdnR5Z3Zld1V5Nmc4VDdwS2MwQ2MtMQ?oc=5
Careers360,"US Student Visa: Universities could see fall 2025 intake drop by 1.5 lakh over uncertainties, says report - Careers360",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPQUdqMDU5QjdqelZyb2ZwaFJWcjlKa2FVUUJsVTVaa3BOanNOVVJHa01CT0FOdm9iVHVxM3UtZENMVWtHNmU4V1VDeE5uX1NmTnZkX1d6X3FSSGJKcUVFUzRyRnpHR3I4TUhBODNxa0dFdmF1Y0FTMFowdGRZa0ZER2RqUkZYOHNSaTdTS29HZXBwUmxqZDI1T3RSdHdQZnBzSUNPcUVHbFFrbXo0VW8xOWJuTU80dXN2TXJja1YzVVZZLW1ZMVVmb1lvUGV4TnRvaU9HNzd2cHBzSHItdS1pQ2wxSWZlcFXSAewBQVVfeXFMUHZsa2FCQ2tDUXZ5aW4zbTMxQWdTU190c3V1YXdSUUFETWVoWEZWMDdQaTIxdDdYY3lody0xODdzTTVnaUtQRnNkT1FQdUk1ZVNkV01JUjNQdXRHanRtaTcxSkxsZGpVRFBuUUFmTTBxV2YyeWJyZVQwUW1tVGZCUktZRWVEM0J1cW9CeWZtR0t6Yk4yS2sxQ0VwbGx3U1pYa3FHSTBKcGFiaVd3UWZMMVJOTXV1TjMyME9McmlxRVFZLWxZd3lENDVMTU92eThpaGNaUy0yempncE94OU52QkVfYkR0TjJ2ekdLNEY?oc=5
EdexLive,Rethinking the American dream: Why Indian students are starting to choose UK and Asia for global education - EdexLive,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNcDdfWlljbEtqd1M0VEJKdDQzZ0x4bC1wRm8xdm03YjNQQVdCRlpzX3g4ZlFsRHhKYXIyX0ZTNC1YMlFoTVdBWkxNZDEtMEx5cF9yV0VvVXpSaEstV3VBWnlFVlR6ckRDX2YzMHRKWkdzXzFIekpDbHpMLWxldklueUxiaW5NRHd3Yk9FRGZxWjVOREQ3NkNiRDJEb2lMQmJ6dVlzdVVOYmRvN3kxWEhlUVZXRlJ5S2xKcDByek5seWVYUUQ3U1lqZVBHWnMyYmZjX3FBeV9MWk9vRXIzQUlpWNIB7gFBVV95cUxQNUpEX1Y3ZE9aLVl4bHFscVhicnJpSE5mbHJYVlpfLVhQUWhjVlY1UjJMNDFZR3preXVJd1VtX2hFUzNpRWdBQnFqcmxsUVVMRzNsYWpzZ0NoSUhPRDhkem14ZEFZenlqaE9ra0xtemp3MGZFUmhZakZtWmZrbEtaVkZlb19WMUEzdHVXcHF6TndQZUpHQkxqZldxS1N3VjhnREpvLWZlWTJ3YTY4Q0JNU2RCeVY1c1dmX0Y4MFZONGpDbGI3VWZnMlZSQk9EVF9RYy0wUGtSTXpXMGhCTldVdElVSXFQczQyRnRwTmZn?oc=5
Free Press Journal,"Australia Eases Cap To Welcome 295,000 International Students In 2026 - Free Press Journal",https://news.google.com/rss/articles/CBMiwAFBVV95cUxOQk1VSGpXNnFEZnpWM2RmRHRwVWl5MGwtMHN4ZE1qMHJ6aDR6aGtYVEN1eFVwbC1RUzZ6RnFETU1XRmFSNGxCamRYQnNtNHRPcFNPdklkeGp0LXBvTkF5T2l3S012S3R1TC1pNWNwTmtWWUNOUk82cUhkSFpERGotc0t3V3UzSkYzQTlOclhJWXROZUN4R1UzY3ZZNkljbURPRWJpX1dIUkNoVTM2UmthQ2FOd1BGZTRyMTNZRXhRMUjSAcYBQVVfeXFMTUNkZ1RuZU9lQVB4eVJOQWZEMkRRNmlZaUdqSmZLTExvRVRzLVh2SmVTeHJtRl9neW9fbGozcG5scTNiZU5tallKaGtKSmNVdkMzMVNUbG15SXdkaUIwSF84Q2cwQ2N1M0l3UmN5enc4WTBEQzV5b0NyN2RfVHk4WHlNVjl4bGFEaDdaQllaUkNRbUNBUS1BM19ZRi1KVzJfTjgzZkhkUUpRRW9obXJyaFJhMTUyTUhSVG1DUjRBdEZzSGYtak9R?oc=5
